year,month,day,breed,gender,spayneuter,zipcode,age
2018,5,7,pit bull,F,FALSE,11203,8
2018,4,27,shiba inu,M,FALSE,NA,NA
2018,5,7,yorkshire terrier,F,FALSE,11207,1
2018,5,9,bull dog,U,FALSE,NA,NA
2018,5,7,pit bull,U,FALSE,11214,NA
2018,5,8,rottweiler,M,TRUE,11236,1
2018,5,1,german shepherd,M,TRUE,11238,15
2018,3,4,NA,U,FALSE,11206,NA
2018,5,10,siberian husky,U,FALSE,11205,NA
2018,5,7,NA,U,FALSE,NA,NA
2018,5,9,australian cattledog,F,TRUE,11226,6
2018,5,10,yorkshire terrier,F,FALSE,11205,7
2018,5,12,pit bull,F,FALSE,11230,NA
2018,5,12,pit bull,U,FALSE,11221,NA
2018,5,14,beagle,M,TRUE,11225,4
2018,5,12,bull dog,M,TRUE,11235,2
2018,5,15,mixed,M,FALSE,11208,8
2018,5,9,NA,U,FALSE,11223,NA
2018,5,14,NA,U,FALSE,11210,NA
2018,5,14,great dane,U,FALSE,11213,NA
2018,5,13,pit bull,U,FALSE,11221,NA
2018,4,17,cane corso,F,FALSE,11236,1
2018,5,17,labrador retriever,M,TRUE,11201,3
2018,5,18,pit bull,U,FALSE,11213,NA
2018,5,20,mixed,M,FALSE,11236,1
2018,5,19,spaniel,U,FALSE,11218,NA
2018,5,19,mixed,U,FALSE,11226,NA
2018,5,20,pit bull,F,FALSE,11221,4
2018,5,18,husky,U,FALSE,11221,NA
2018,5,22,pit bull,U,FALSE,11213,NA
2018,5,22,pit bull,U,FALSE,11226,NA
2018,5,20,NA,U,FALSE,11212,NA
2018,5,23,cocker spaniel,F,FALSE,11224,6
2018,5,23,pit bull,U,FALSE,11208,NA
2018,5,24,chow chow,F,TRUE,11217,4
2018,5,24,chow chow,F,TRUE,11217,4
2018,5,28,NA,F,FALSE,11216,6
2018,5,20,mixed,U,FALSE,11220,NA
2018,5,28,pit bull,U,FALSE,NA,NA
2018,5,26,american bully,M,FALSE,11208,1
2018,5,26,shih tzu,U,FALSE,11221,NA
2018,5,26,mixed,F,FALSE,11213,NA
2018,5,24,mixed,M,FALSE,11216,1
2018,5,27,golden retriever,F,FALSE,NA,8
2018,5,26,NA,U,FALSE,NA,NA
2018,5,24,pit bull,M,TRUE,11212,5
2018,6,1,pit bull,F,FALSE,11223,3
2018,6,2,NA,U,FALSE,11221,NA
2018,6,2,NA,U,FALSE,NA,NA
2018,6,2,pit bull,M,FALSE,11233,3
2018,6,5,mixed,U,FALSE,11209,NA
2018,6,1,zuchon,M,FALSE,11217,4
2018,6,1,hound,M,TRUE,NA,2
2018,6,2,NA,U,FALSE,NA,NA
2018,6,2,dachshund smooth coat,M,TRUE,11236,11
2018,6,4,NA,F,FALSE,11208,8
2018,6,4,pit bull,U,FALSE,11222,NA
2018,6,1,pit bull,U,FALSE,11230,NA
2018,5,25,beagle,U,FALSE,11223,NA
2018,5,26,bull dog,M,TRUE,11220,6
2018,5,25,mixed,U,FALSE,11222,NA
2018,5,30,NA,F,FALSE,11208,5
2018,6,8,NA,M,FALSE,11208,3
2018,5,31,boxer,U,FALSE,11207,NA
2018,5,26,shih tzu,M,FALSE,11204,2
2018,5,21,pit bull,U,FALSE,11220,NA
2018,5,30,shih tzu,U,FALSE,11238,NA
2018,6,6,yorkshire terrier,U,FALSE,11234,NA
2018,6,12,pit bull,M,FALSE,11231,3
2018,6,6,maltese bighon white,U,FALSE,NA,NA
2018,6,1,border collie,M,TRUE,11217,6
2018,6,10,yorkshire terrier,U,FALSE,11201,NA
2018,6,2,pit bull,U,FALSE,11225,NA
2018,6,14,terrier/maltese,F,TRUE,11205,4
2018,6,7,"poodle, standard",U,FALSE,11207,NA
2018,5,31,mixed,U,FALSE,11201,NA
2018,6,9,pit bull,U,FALSE,11205,NA
2018,5,23,german shepherd,M,FALSE,11234,4
2018,5,30,shih poo,F,FALSE,11203,2
2018,6,14,pit bull,U,FALSE,11205,NA
2018,6,14,pit bull,U,FALSE,11205,NA
2018,6,7,NA,U,FALSE,NA,NA
2018,6,9,mixed,F,FALSE,11238,5
2018,6,14,NA,U,FALSE,11205,NA
2018,6,10,NA,U,FALSE,11234,NA
2018,6,2,maltese,F,FALSE,11224,6
2018,6,16,pit bull,U,FALSE,11236,NA
2018,6,4,pit bull,U,FALSE,11224,NA
2018,6,12,mixed,U,FALSE,11220,NA
2018,6,10,maltese,M,FALSE,11206,NA
2018,6,19,NA,M,FALSE,11208,NA
2018,6,11,shih tzu,U,FALSE,11218,NA
2018,6,6,shih tzu,U,FALSE,11216,NA
2018,5,28,boston terrier,U,FALSE,11215,NA
2018,6,13,pit bull,U,FALSE,11203,NA
2018,6,11,bernedoodle,U,FALSE,11238,NA
2018,6,20,NA,M,FALSE,11212,2
2018,6,20,NA,F,FALSE,NA,2
2018,6,18,pit bull,U,FALSE,11249,NA
2018,6,17,pit bull,U,FALSE,11236,NA
2018,6,13,hound,U,FALSE,11231,NA
2018,6,18,NA,U,FALSE,11221,NA
2018,6,16,australian shepard - poodle,M,FALSE,NA,4
2018,6,16,NA,U,FALSE,NA,NA
2018,6,19,pit bull,U,FALSE,11226,NA
2018,6,24,maltese,F,TRUE,11212,9
2018,6,18,NA,M,TRUE,11215,4
2018,5,28,australian cattle dog,M,TRUE,11238,6
2018,6,24,NA,M,FALSE,11210,1
2018,6,23,NA,M,FALSE,11212,1
2018,6,17,pit bull,U,FALSE,NA,NA
2018,6,19,NA,U,FALSE,NA,NA
2018,6,21,shih tzu/maltese,M,TRUE,11236,7
2018,6,23,cocker spaniel,U,FALSE,NA,NA
2018,6,21,boston terrier,M,TRUE,11233,5
2018,6,21,cane corso,M,FALSE,11223,7
2018,6,24,mixed,F,FALSE,11219,1
2018,6,27,chihuahua,M,FALSE,11219,2
2018,6,22,NA,U,FALSE,11219,NA
2018,6,22,NA,U,FALSE,11205,NA
