FIPS,county_name,year,pincp,pop_18_24,pop_25_over
36091,Saratoga,2020,77398,18725,164817
36093,Schenectady,2015,45627,14871,105720
36093,Schenectady,2016,46850,14731,106136
36093,Schenectady,2017,48523,14739,106739
36093,Schenectady,2018,48718,14448,106960
36093,Schenectady,2019,54310,14710,106675
36093,Schenectady,2020,58210,14023,107534
36095,Schoharie,2015,36405,3733,22149
36095,Schoharie,2016,37642,3687,22026
36095,Schoharie,2017,40003,3683,22191
36095,Schoharie,2018,41084,3499,22210
36095,Schoharie,2019,42648,3370,22309
36095,Schoharie,2020,46469,3288,22383
36097,Schuyler,2015,39213,1470,13283
36097,Schuyler,2016,39144,1429,13277
36097,Schuyler,2017,40804,1338,13177
36097,Schuyler,2018,41357,1277,13200
36097,Schuyler,2019,42703,1241,13229
36097,Schuyler,2020,46971,1220,13219
36099,Seneca,2015,34934,3051,24921
36099,Seneca,2016,35563,3021,24924
36099,Seneca,2017,37937,2972,24870
36099,Seneca,2018,38284,2894,24803
36099,Seneca,2019,40299,2801,24710
36099,Seneca,2020,44065,2756,24681
36101,Steuben,2015,40772,8110,68314
36101,Steuben,2016,41097,7962,68291
36101,Steuben,2017,43280,7797,68162
36101,Steuben,2018,44869,7650,68069
36101,Steuben,2019,46726,7430,68086
36101,Steuben,2020,50331,7205,67942
36103,Suffolk,2015,61203,138167,1022970
36103,Suffolk,2016,63757,138819,1024860
36103,Suffolk,2017,66429,138040,1030141
36103,Suffolk,2018,69209,136173,1028820
36103,Suffolk,2019,72180,134777,1030842
36103,Suffolk,2020,76713,133732,1033886
36105,Sullivan,2015,41629,6651,53118
36105,Sullivan,2016,42061,6437,53020
36105,Sullivan,2017,44399,6300,53264
36105,Sullivan,2018,45993,6078,53101
36105,Sullivan,2019,48550,6088,53086
36105,Sullivan,2020,52249,6002,53315
36107,Tioga,2015,41610,3863,35148
36107,Tioga,2016,42068,3756,34981
36107,Tioga,2017,44127,3860,34772
36107,Tioga,2018,44811,3811,34739
36107,Tioga,2019,46818,3719,34696
36107,Tioga,2020,50990,3614,34722
36109,Tompkins,2015,41010,28400,59323
36109,Tompkins,2016,41008,28624,59666
36109,Tompkins,2017,43311,28480,60092
36109,Tompkins,2018,44692,27818,59782
36109,Tompkins,2019,46052,27600,59774
36109,Tompkins,2020,49486,27167,60001
36111,Ulster,2015,44812,18323,128759
36111,Ulster,2016,46273,17892,129015
36111,Ulster,2017,48502,17496,129659
36111,Ulster,2018,50378,16951,129932
36111,Ulster,2019,52554,16550,130190
36111,Ulster,2020,56071,16331,130502
36113,Warren,2015,47106,5292,47243
36113,Warren,2016,48329,5151,47419
36113,Warren,2017,51055,4911,47642
36113,Warren,2018,52542,4734,47790
36113,Warren,2019,54650,4635,47833
36113,Warren,2020,59509,4506,48041
36115,Washington,2015,35997,5403,44741
36115,Washington,2016,36863,5342,44794
36115,Washington,2017,39281,5251,44765
36115,Washington,2018,40089,5079,44839
36115,Washington,2019,42122,4888,44992
36115,Washington,2020,46305,4981,44788
36117,Wayne,2015,41084,7567,64078
36117,Wayne,2016,42352,7599,63894
36117,Wayne,2017,44767,7511,63889
36117,Wayne,2018,45732,7323,63828
36117,Wayne,2019,48162,7115,63914
36117,Wayne,2020,51282,6854,63950
36119,Westchester,2015,93495,83942,659258
36119,Westchester,2016,96251,85574,661283
36119,Westchester,2017,102861,86345,668102
36119,Westchester,2018,107252,85757,665958
36119,Westchester,2019,112037,85499,668290
36119,Westchester,2020,115386,85113,670717
36121,Wyoming,2015,36389,3544,29663
36121,Wyoming,2016,37057,3537,29560
36121,Wyoming,2017,39312,3435,29320
36121,Wyoming,2018,39872,3357,29144
36121,Wyoming,2019,42682,3256,29033
36121,Wyoming,2020,47331,3023,29401
36123,Yates,2015,35411,2809,16533
36123,Yates,2016,36655,2911,16434
36123,Yates,2017,38682,2829,16613
36123,Yates,2018,39082,2762,16597
36123,Yates,2019,41632,2783,16673
36123,Yates,2020,45258,2721,16635
