Name,Month,Year,Date,Weight,Volume,PlasticBottles,Polystyrene,CigaretteButts,GlassBottles,PlasticBags,Wrappers,SportsBalls,HomesPowered
Mister Trash Wheel,April,2022,2022-04-01,20.13,90,12640,964,18400,108,575,3030,75,336
Mister Trash Wheel,April,2023,2023-04-01,26.9,90,12800,1034,19000,131,1490,9880,122,450
Mister Trash Wheel,August,2014,2014-08-01,18.169999999999998,80,9410,11010,535000,309,3838,8731,32,0
Mister Trash Wheel,August,2015,2015-08-01,20.580000000000002,87,9760,11200,252000,130,6980,8840,136,215
Mister Trash Wheel,August,2016,2016-08-01,18.5,81,13570,14590,182000,201,11310,13210,128,309
Mister Trash Wheel,August,2017,2017-08-01,25.59,129,19050,17320,146000,233,15820,18630,72,427
Mister Trash Wheel,August,2018,2018-08-01,17.979999999999997,81,9030,4900,29600,65,6260,6060,18,300
Mister Trash Wheel,August,2019,2019-08-01,23.47,105,15410,6070,30200,104,1828,6050,68,392
Mister Trash Wheel,August,2020,2020-08-01,11.9,75,9990,6120,20450,82,2390,3680,75,200
Mister Trash Wheel,August,2021,2021-08-01,21.01,90,16600,2140,22600,114,2150,4820,102,351
Mister Trash Wheel,August,2022,2022-08-01,5.09,30,5300,620,9000,32,340,1850,50,85
Mister Trash Wheel,August,2023,2023-08-01,19.58,85,18100,2050,29800,174,1850,11850,173,327
Mister Trash Wheel,December,2014,2014-12-01,8.47,47,2560,6260,86000,104,2570,4440,19,0
Mister Trash Wheel,December,2015,2015-12-01,26.110000000000003,126,17460,23140,230000,360,20880,25550,132,320
Mister Trash Wheel,December,2016,2016-12-01,9.829999999999998,63,7540,14240,115000,189,11160,16490,65,165
Mister Trash Wheel,December,2018,2018-12-01,13.490000000000002,63,2800,2870,10500,58,2040,2740,20,224
Mister Trash Wheel,December,2019,2019-12-01,5.5,30,5900,5600,15400,17,780,2900,21,91
Mister Trash Wheel,December,2020,2020-12-01,38.81999999999999,210,22010,11730,55750,245,5060,7050,211,648
Mister Trash Wheel,December,2021,2021-12-01,3.73,30,4700,610,8100,48,380,1640,44,63
Mister Trash Wheel,December,2022,2022-12-01,18.130000000000003,90,11200,792,20400,128,964,9400,152,303
Mister Trash Wheel,December,2023,2023-12-01,17.65,90,10780,975,19900,117,1210,8880,121,294
Mister Trash Wheel,February,2015,2015-02-01,2.54,15,1740,2250,22000,38,320,980,3,42
Mister Trash Wheel,February,2016,2016-02-01,20.759999999999998,96,12860,18080,163000,246,11250,14000,87,346
Mister Trash Wheel,February,2017,2017-02-01,6.04,33,5030,4330,45000,45,4650,5700,31,101
Mister Trash Wheel,February,2018,2018-02-01,31.28,144,13510,17140,145000,85,9000,15610,62,522
Mister Trash Wheel,February,2019,2019-02-01,5.57,30,2780,3640,8000,4,2150,2850,13,93
Mister Trash Wheel,February,2020,2020-02-01,1.9,15,1850,980,8000,2,880,1040,9,32
Mister Trash Wheel,February,2021,2021-02-01,2.4299999999999997,15,2400,1100,4400,9,980,1050,10,47
Mister Trash Wheel,February,2022,2022-02-01,2.71,15,3100,220,4400,28,110,650,36,45
Mister Trash Wheel,February,2023,2023-02-01,6.56,30,6000,580,7500,45,450,3300,51,110
Mister Trash Wheel,January,2015,2015-01-01,7.01,44,4070,7300,92000,143,1930,4530,18,0
Mister Trash Wheel,January,2016,2016-01-01,3.6,15,3240,4160,28000,54,1360,2580,17,60
Mister Trash Wheel,January,2017,2017-01-01,2.4299999999999997,15,2260,2780,28000,36,2870,3640,22,41
Mister Trash Wheel,January,2018,2018-01-01,4.25,30,4910,5950,36000,40,3760,5320,20,71
Mister Trash Wheel,January,2019,2019-01-01,5.57,30,2100,3580,10500,27,2000,1980,30,93
Mister Trash Wheel,January,2020,2020-01-01,24.08,135,21280,14480,79800,98,6490,9550,88,401
Mister Trash Wheel,January,2021,2021-01-01,2.8099999999999996,15,1600,840,3400,24,320,540,12,47
Mister Trash Wheel,January,2022,2022-01-01,13.89,75,11700,1215,15600,108,1034,2590,81,232
Mister Trash Wheel,January,2023,2023-01-01,3.23,15,1700,210,2900,15,180,1500,10,54
Mister Trash Wheel,July,2014,2014-07-01,21.2,106,19130,22310,757000,335,8744,15943,42,0
Mister Trash Wheel,July,2015,2015-07-01,21.209999999999997,96,16370,21110,448000,196,11290,16400,128,355
Mister Trash Wheel,July,2016,2016-07-01,26.74,126,27350,29270,399000,338,17790,19810,222,446
Mister Trash Wheel,July,2017,2017-07-01,14.96,81,13350,12260,89000,122,11680,13650,85,250
Mister Trash Wheel,July,2018,2018-07-01,47.739999999999995,195,11570,10970,97000,69,5470,10940,44,795
Mister Trash Wheel,July,2019,2019-07-01,33.11,180,30070,13000,71800,195,6320,16000,170,553
Mister Trash Wheel,July,2020,2020-07-01,20.99,105,12370,7520,28100,96,3500,5000,87,351
Mister Trash Wheel,July,2021,2021-07-01,9.73,45,10200,1540,13900,69,1550,2640,60,162
Mister Trash Wheel,July,2022,2022-07-01,22.400000000000002,118,21700,1486,33100,137,2060,8920,145,374
Mister Trash Wheel,July,2023,2023-07-01,47.309999999999995,190,25770,2968,43180,263,2928,21130,253,792
Mister Trash Wheel,June,2014,2014-06-01,32,139,10920,13019,972000,494,4744,8602,56,0
Mister Trash Wheel,June,2015,2015-06-01,76.89000000000001,336,35290,45740,999000,639,32640,39240,420,826
Mister Trash Wheel,June,2016,2016-06-01,19.5,96,24950,24740,282000,249,10180,12240,195,325
Mister Trash Wheel,June,2017,2017-06-01,8.569999999999999,48,9440,8660,64000,60,8530,9440,27,143
Mister Trash Wheel,June,2018,2018-06-01,34.36,150,13780,15550,101000,52,8600,13800,35,573
Mister Trash Wheel,June,2019,2019-06-01,9.33,45,7900,6840,22100,43,2150,5050,41,155
Mister Trash Wheel,June,2020,2020-06-01,38.8,180,19270,13350,37600,133,2984,7440,86,647
Mister Trash Wheel,June,2021,2021-06-01,31.129999999999995,135,24140,3720,37800,182,4420,6400,153,506
Mister Trash Wheel,June,2022,2022-06-01,21.89,100,15310,1870,22500,99,1996,6620,98,365
Mister Trash Wheel,June,2023,2023-06-01,13.53,55,11400,1390,16600,110,1130,6700,104,225
Mister Trash Wheel,March,2015,2015-03-01,7.67,48,8770,13650,83000,127,1660,2940,38,129
Mister Trash Wheel,March,2016,2016-03-01,15.28,81,12700,13930,152000,205,12930,14440,149,255
Mister Trash Wheel,March,2017,2017-03-01,9.600000000000001,63,8410,9480,60000,74,8380,9250,48,161
Mister Trash Wheel,March,2018,2018-03-01,5.300000000000001,30,4680,5460,37000,24,2960,3690,17,88
Mister Trash Wheel,March,2019,2019-03-01,16.81,89,6760,8880,24100,28,3055,5490,38,281
Mister Trash Wheel,March,2020,2020-03-01,8.35,45,6980,5600,23800,40,1760,2840,34,139
Mister Trash Wheel,March,2021,2021-03-01,25.2,135,14520,5410,30000,119,4900,6860,125,421
Mister Trash Wheel,March,2022,2022-03-01,9.159999999999998,45,8300,450,11500,72,320,1650,76,153
Mister Trash Wheel,March,2023,2023-03-01,6.55,30,5600,380,6200,38,470,3100,34,109
Mister Trash Wheel,May,2014,2014-05-01,25.98,116,14300,17090,800000,424,6064,11643,45,0
Mister Trash Wheel,May,2015,2015-05-01,22.42,90,13170,18560,231000,172,5010,7950,133,376
Mister Trash Wheel,May,2016,2016-05-01,9.459999999999999,48,11560,12580,156000,141,6167,8530,96,158
Mister Trash Wheel,May,2017,2017-05-01,29.17,129,20340,20730,128000,151,23110,25050,78,487
Mister Trash Wheel,May,2018,2018-05-01,37.940000000000005,165,17120,17100,102000,50,7720,19360,27,633
Mister Trash Wheel,May,2019,2019-05-01,33.37999999999999,165,13700,15300,44570,115,7330,8360,108,556
Mister Trash Wheel,May,2020,2020-05-01,11.9,45,3920,2960,13500,36,1530,2170,50,198
Mister Trash Wheel,May,2021,2021-05-01,16.28,60,11800,2440,17700,84,2470,3850,88,272
Mister Trash Wheel,May,2022,2022-05-01,25.759999999999998,105,11780,813,22500,130,714,4470,138,430
Mister Trash Wheel,May,2023,2023-05-01,6.28,30,5300,800,7000,67,510,4100,61,105
Mister Trash Wheel,November,2014,2014-11-01,12.669999999999998,63,4690,10220,155000,92,3380,7670,25,0
Mister Trash Wheel,November,2015,2015-11-01,4.46,15,1940,2230,28000,47,2960,3320,27,0
Mister Trash Wheel,November,2016,2016-11-01,6.74,48,8684,14658,79000,124,8540,8740,67,113
Mister Trash Wheel,November,2017,2017-11-01,4.4,30,5270,5850,23000,55,3510,4550,24,74
Mister Trash Wheel,November,2018,2018-11-01,28.54,141,12350,10820,43500,140,7740,10790,45,476
Mister Trash Wheel,November,2019,2019-11-01,21.39,105,7830,7430,28200,56,1658,4010,33,357
Mister Trash Wheel,November,2020,2020-11-01,10.36,45,6550,4400,10400,38,1060,1840,28,173
Mister Trash Wheel,November,2021,2021-11-01,36.12,165,13930,2370,27400,154,1370,5035,137,602
Mister Trash Wheel,November,2022,2022-11-01,7.42,45,7100,530,13200,78,510,3780,83,124
Mister Trash Wheel,November,2023,2023-11-01,19.63,100,12300,1190,21700,117,1280,9880,124,328
Mister Trash Wheel,October,2014,2014-10-01,14.719999999999999,77,13990,15620,417000,136,5890,8720,31,0
Mister Trash Wheel,October,2015,2015-10-01,8.25,48,7340,8160,112000,132,6650,8400,72,89
Mister Trash Wheel,October,2016,2016-10-01,5.9,33,4216,7140,46600,56,3710,4790,48,98
Mister Trash Wheel,October,2017,2017-10-01,5.52,33,5710,5230,21000,53,3420,4480,15,92
Mister Trash Wheel,October,2018,2018-10-01,9.42,48,4360,2120,18000,75,3570,5560,27,158
Mister Trash Wheel,October,2019,2019-10-01,24.29,120,16480,12720,44000,90,4630,10800,98,405
Mister Trash Wheel,October,2020,2020-10-01,12.579999999999998,60,13050,7750,17800,63,2210,3310,67,210
Mister Trash Wheel,October,2021,2021-10-01,9.799999999999999,45,5830,900,12100,64,540,2720,54,164
Mister Trash Wheel,October,2022,2022-10-01,7.119999999999999,29,6400,600,10400,57,390,2360,39,119
Mister Trash Wheel,October,2023,2023-10-01,4.46,30,5700,430,7200,30,510,2580,50,75
Mister Trash Wheel,September,2014,2014-09-01,8.14,41,7590,7380,440000,163,3500,5100,16,0
Mister Trash Wheel,September,2015,2015-09-01,17.65,73,6890,8120,182000,155,5760,6960,57,55
Mister Trash Wheel,September,2016,2016-09-01,8.64,48,8050,9460,83000,91,6640,8080,76,144
Mister Trash Wheel,September,2017,2017-09-01,5.22,33,5690,5430,25000,53,3330,4010,18,87
Mister Trash Wheel,September,2018,2018-09-01,25.6,126,14350,7980,48700,155,7070,12020,74,428
Mister Trash Wheel,September,2020,2020-09-01,9.27,45,7800,4560,11700,42,2000,2090,50,155
Mister Trash Wheel,September,2021,2021-09-01,23.79,120,19730,3220,31300,136,1735,6020,120,397
Mister Trash Wheel,September,2022,2022-09-01,25.93,105,11750,967,24000,84,806,5220,108,434
Mister Trash Wheel,September,2023,2023-09-01,32.489999999999995,145,16810,2300,29300,164,2210,15150,121,542
Mister Trash Wheel,september,2023,2023-09-01,3.32,15,850,150,1800,8,180,1500,18,55
Professor Trash Wheel,April,2017,2017-04-01,4.19,30,19070,19780,32000,40,21470,33290,0,70
Professor Trash Wheel,April,2018,2018-04-01,6.86,45,12397,16759,70380,6,4891,43710,0,115
Professor Trash Wheel,April,2019,2019-04-01,7.06,45,20200,17700,25500,30,5450,17900,0,118
Professor Trash Wheel,April,2020,2020-04-01,2.72,15,4400,3960,6000,27,1200,5800,0,45
Professor Trash Wheel,April,2022,2022-04-01,2.61,15,3900,280,6900,34,290,3800,0,44
Professor Trash Wheel,April,2023,2023-04-01,4.63,30,3400,400,4900,26,380,3200,0,77
Professor Trash Wheel,August,2017,2017-08-01,4.140000000000001,30,16290,15810,36000,50,21310,29700,0,69
