fips,human2014,human2016,human2018
12007,41,44.608002,47.766998
12009,49,51.605999,54.195999
12011,57,58.660999,61.432999
12013,39,42.842999,46.636002
12015,46,50.778999,52.914001
12017,49,49.813999,50.589001
12019,42,43.867001,47.633999
12021,50,50.375,54.256001
12023,44,45.398998,48.166
12027,48,52.188999,55.59
12029,39,42.379002,46.435001
12031,41,48.004002,51.777
12033,46,48.723999,53.634998
12035,53,51.764,53.078999
12037,46,48.966999,52.030998
12039,49,55.363998,57.549
12041,41,42.773998,48.835999
12043,46,48.779999,51.591
12045,40,43.870998,48.050999
12047,44,47.435001,49.986
12049,45,49.5,52.377998
12051,57,57.139,63.167
12053,42,48.131001,48.587002
12055,49,49.265999,50.435001
12057,47,56.303001,58.873001
12059,42,40.209999,43.588001
12061,50,48.841999,51.768002
12063,43,44.985001,46.719002
12065,53,51.313999,53.919998
12067,41,43.549999,46.435001
12069,53,52.563999,55.103001
12071,50,50.658001,52.917999
12073,47,53.889,58.742001
12075,47,45.127998,49.93
12077,42,48.596001,51.741001
12079,40,48.235001,50.223
12081,51,52.445999,55.259998
12083,47,50.227001,52.685001
12085,45,47.278999,51.125999
12086,57,60.775002,64.799004
12087,55,56.550999,59.971001
12089,48,45.132,48.305
12091,46,45.993,50.372002
12093,55,50.27,50.953999
12095,50,53.459999,56.306999
12097,52,58.040001,61.306
12099,48,54.526001,58.215
12101,50,53.847,56.457001
12103,50,53.929001,56.898998
12105,46,49.028,53.25
12107,44,45.907001,49.292999
12109,44,46.435001,50.487
12111,44,53.137001,56.407001
12113,50,45.598,49.25
12115,47,50.681999,54.472
12117,46,50.018002,53.182999
12119,46,48.162998,51.578999
12121,42,44.713001,48.547001
12123,41,46.823002,49.398998
12125,39,44.724998,46.839001
12127,44,50.070999,54.640999
12129,47,45.494999,48.279999
12131,45,44.705002,48.652
12133,42,43.036999,43.745998
13001,41,42.901001,47.007999
13003,42,46.215,48.543999
13005,50,46.285999,44.219002
13007,40,45.674999,48.745998
13009,44,48.044998,50.275002
13011,52,43.917,44.557999
13013,40,43.849998,47.870998
13015,43,41.893002,44.973
13017,44,47.453999,50.571999
13019,45,43.681,45.291
13021,40,49.129002,53.709999
13023,46,44.942001,45.141998
13025,43,41.747002,44.106998
13027,41,47.008999,50.006001
13029,47,45.409,49.125
13031,48,50.181999,52.808998
13033,39,47.195,49.394001
13035,44,44.979,47.594002
13037,46,54.636002,56.564999
13039,44,46.513,49.287998
13043,50,46.376999,47.75
13045,44,44.826,48.877998
13047,42,42.417999,45.073002
13049,43,46.870998,47.726002
13051,44,52.573002,56.778999
13053,46,53.658001,57.953999
13055,40,42.658001,44.574001
13057,49,45.880001,50.596001
13059,49,57.167,61.323002
13061,40,52.179001,56.926998
13063,49,57.512001,60.851002
13065,40,43.648998,45.41
13067,46,52.898998,58.754002
13069,44,46.361,47.827999
13071,44,46.539001,52.103001
13073,44,45.319,48.674
13075,42,44.215,46.839001
13077,45,44.509998,48.782001
13079,45,46.036999,45.764
13081,42,46.081001,48.689999
13083,46,42.312,46.533001
13085,43,42.478001,46.636002
13087,44,47.235001,50.207001
13089,53,60.271,63.848999
13091,39,43.236,46.019001
