"fips","year","month","date","county","state","cases","deaths","total_population","area_sqmi"
"36001","2020","11","02","Albany","New York",3771,130,307891,522.814401957382
"36001","2020","11","03","Albany","New York",3802,130,307891,522.814401957382
"36001","2020","11","04","Albany","New York",3845,130,307891,522.814401957382
"36001","2020","11","05","Albany","New York",3877,130,307891,522.814401957382
"36001","2020","11","06","Albany","New York",3942,130,307891,522.814401957382
"36001","2020","11","07","Albany","New York",4024,131,307891,522.814401957382
"36001","2020","11","08","Albany","New York",4049,132,307891,522.814401957382
"36001","2020","11","09","Albany","New York",4095,132,307891,522.814401957382
"36001","2020","11","10","Albany","New York",4192,132,307891,522.814401957382
"36001","2020","11","11","Albany","New York",4252,132,307891,522.814401957382
"36001","2020","11","12","Albany","New York",4336,133,307891,522.814401957382
"36001","2020","11","13","Albany","New York",4425,135,307891,522.814401957382
"36001","2020","11","14","Albany","New York",4514,135,307891,522.814401957382
"36001","2020","11","15","Albany","New York",4529,135,307891,522.814401957382
"36001","2020","11","16","Albany","New York",4572,135,307891,522.814401957382
"36001","2020","11","17","Albany","New York",4653,135,307891,522.814401957382
"36001","2020","11","18","Albany","New York",4730,135,307891,522.814401957382
"36001","2020","11","19","Albany","New York",4822,136,307891,522.814401957382
"36001","2020","11","20","Albany","New York",4906,136,307891,522.814401957382
"36001","2020","11","21","Albany","New York",5013,136,307891,522.814401957382
"36001","2020","11","22","Albany","New York",5108,136,307891,522.814401957382
"36001","2020","11","23","Albany","New York",5148,136,307891,522.814401957382
"36001","2020","11","24","Albany","New York",5233,136,307891,522.814401957382
"36001","2020","11","25","Albany","New York",5324,138,307891,522.814401957382
"36001","2020","11","26","Albany","New York",5426,140,307891,522.814401957382
"36001","2020","11","27","Albany","New York",5555,144,307891,522.814401957382
"36001","2020","11","28","Albany","New York",5618,145,307891,522.814401957382
"36001","2020","11","29","Albany","New York",5712,145,307891,522.814401957382
"36001","2020","11","30","Albany","New York",5816,146,307891,522.814401957382
"36001","2020","12","01","Albany","New York",5968,146,307891,522.814401957382
"36001","2020","12","02","Albany","New York",6138,149,307891,522.814401957382
"36001","2020","12","03","Albany","New York",6258,152,307891,522.814401957382
"36001","2020","12","04","Albany","New York",6406,153,307891,522.814401957382
"36003","2020","03","16","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","17","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","18","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","19","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","20","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","21","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","22","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","23","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","24","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","25","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","26","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","27","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","28","Allegany","New York",2,0,47700,1029.29973759005
"36003","2020","03","29","Allegany","New York",6,0,47700,1029.29973759005
"36003","2020","03","30","Allegany","New York",7,0,47700,1029.29973759005
"36003","2020","03","31","Allegany","New York",7,0,47700,1029.29973759005
"36003","2020","04","01","Allegany","New York",10,1,47700,1029.29973759005
"36003","2020","04","02","Allegany","New York",12,1,47700,1029.29973759005
"36003","2020","04","03","Allegany","New York",12,1,47700,1029.29973759005
"36003","2020","04","04","Allegany","New York",16,1,47700,1029.29973759005
"36003","2020","04","05","Allegany","New York",16,1,47700,1029.29973759005
"36003","2020","04","06","Allegany","New York",17,1,47700,1029.29973759005
"36003","2020","04","07","Allegany","New York",17,1,47700,1029.29973759005
"36003","2020","04","08","Allegany","New York",21,0,47700,1029.29973759005
"36003","2020","04","09","Allegany","New York",22,0,47700,1029.29973759005
"36003","2020","04","10","Allegany","New York",26,0,47700,1029.29973759005
"36003","2020","04","11","Allegany","New York",26,0,47700,1029.29973759005
"36003","2020","04","12","Allegany","New York",26,0,47700,1029.29973759005
"36003","2020","04","13","Allegany","New York",26,0,47700,1029.29973759005
"36003","2020","04","14","Allegany","New York",28,0,47700,1029.29973759005
"36003","2020","04","15","Allegany","New York",28,0,47700,1029.29973759005
"36003","2020","04","16","Allegany","New York",28,0,47700,1029.29973759005
"36003","2020","04","17","Allegany","New York",29,0,47700,1029.29973759005
"36003","2020","04","18","Allegany","New York",30,0,47700,1029.29973759005
"36003","2020","04","19","Allegany","New York",30,0,47700,1029.29973759005
"36003","2020","04","20","Allegany","New York",30,0,47700,1029.29973759005
"36003","2020","04","21","Allegany","New York",30,0,47700,1029.29973759005
"36003","2020","04","22","Allegany","New York",30,0,47700,1029.29973759005
"36003","2020","04","23","Allegany","New York",30,0,47700,1029.29973759005
"36003","2020","04","24","Allegany","New York",31,0,47700,1029.29973759005
"36003","2020","04","25","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","04","26","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","04","27","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","04","28","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","04","29","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","04","30","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","05","01","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","05","02","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","05","03","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","05","04","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","05","05","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","05","06","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","05","07","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","05","08","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","05","09","Allegany","New York",35,0,47700,1029.29973759005
"36003","2020","05","10","Allegany","New York",36,0,47700,1029.29973759005
"36003","2020","05","11","Allegany","New York",38,0,47700,1029.29973759005
"36003","2020","05","12","Allegany","New York",42,0,47700,1029.29973759005
"36003","2020","05","13","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","14","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","15","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","16","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","17","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","18","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","19","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","20","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","21","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","22","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","23","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","24","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","25","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","26","Allegany","New York",44,0,47700,1029.29973759005
"36003","2020","05","27","Allegany","New York",45,0,47700,1029.29973759005
"36003","2020","05","28","Allegany","New York",45,0,47700,1029.29973759005
"36003","2020","05","29","Allegany","New York",45,0,47700,1029.29973759005
"36003","2020","05","30","Allegany","New York",45,0,47700,1029.29973759005
"36003","2020","05","31","Allegany","New York",45,0,47700,1029.29973759005
"36003","2020","06","01","Allegany","New York",48,0,47700,1029.29973759005
"36003","2020","06","02","Allegany","New York",48,0,47700,1029.29973759005
"36003","2020","06","03","Allegany","New York",49,0,47700,1029.29973759005
"36003","2020","06","04","Allegany","New York",49,0,47700,1029.29973759005
"36003","2020","06","05","Allegany","New York",51,0,47700,1029.29973759005
"36003","2020","06","06","Allegany","New York",51,0,47700,1029.29973759005
"36003","2020","06","07","Allegany","New York",51,0,47700,1029.29973759005
"36003","2020","06","08","Allegany","New York",51,0,47700,1029.29973759005
"36003","2020","06","09","Allegany","New York",51,0,47700,1029.29973759005
"36003","2020","06","10","Allegany","New York",52,0,47700,1029.29973759005
"36003","2020","06","11","Allegany","New York",53,0,47700,1029.29973759005
"36003","2020","06","12","Allegany","New York",53,0,47700,1029.29973759005
"36003","2020","06","13","Allegany","New York",54,0,47700,1029.29973759005
"36003","2020","06","14","Allegany","New York",54,0,47700,1029.29973759005
"36003","2020","06","15","Allegany","New York",55,0,47700,1029.29973759005
"36003","2020","06","16","Allegany","New York",55,0,47700,1029.29973759005
"36003","2020","06","17","Allegany","New York",55,0,47700,1029.29973759005
"36003","2020","06","18","Allegany","New York",57,0,47700,1029.29973759005
"36003","2020","06","19","Allegany","New York",58,0,47700,1029.29973759005
"36003","2020","06","20","Allegany","New York",58,0,47700,1029.29973759005
"36003","2020","06","21","Allegany","New York",58,0,47700,1029.29973759005
"36003","2020","06","22","Allegany","New York",58,0,47700,1029.29973759005
"36003","2020","06","23","Allegany","New York",58,0,47700,1029.29973759005
"36003","2020","06","24","Allegany","New York",58,0,47700,1029.29973759005
"36003","2020","06","25","Allegany","New York",58,0,47700,1029.29973759005
"36003","2020","06","26","Allegany","New York",58,0,47700,1029.29973759005
"36003","2020","06","27","Allegany","New York",58,0,47700,1029.29973759005
"36003","2020","06","28","Allegany","New York",59,0,47700,1029.29973759005
"36003","2020","06","29","Allegany","New York",59,0,47700,1029.29973759005
"36003","2020","06","30","Allegany","New York",59,0,47700,1029.29973759005
"36003","2020","07","01","Allegany","New York",61,0,47700,1029.29973759005
"36003","2020","07","02","Allegany","New York",62,0,47700,1029.29973759005
