X,Y,objectid
-73.8028109438988,40.74908548009404,5
-73.79802487205751,40.7487118822742,5
-73.79797926874357,40.748983076885274,5
-73.79644616834038,40.74985924250121,5
-73.79481030715543,40.74864724248131,5
-73.79481559808444,40.74842181497499,5
-73.79230780156934,40.7483284193629,5
-73.79229827925938,40.74847044303219,5
-73.77980638646336,40.75189503017791,5
-73.7755961969901,40.74318890426944,5
-73.77440965013578,40.74048227369436,5
-73.77286130336375,40.73627593203528,5
-73.77952303006592,40.73428105057787,5
-73.78834468361556,40.73131879024068,5
-73.80041315910451,40.72837218185274,5
-73.81088634744755,40.72717187575918,5
-73.88722098467157,40.72752618766134,6
-73.88722820346595,40.72893322365565,6
-73.88751964147262,40.73007577864434,6
-73.88755961452502,40.73019707395208,6
-73.88805974921776,40.73008724345065,6
-73.88852298580434,40.73453096063918,6
-73.88938436378544,40.73585658165053,6
-73.89138531790981,40.736008503768744,6
-73.88869109732114,40.736552562299146,6
-73.89013809417283,40.73919039584173,6
-73.88974163145944,40.73911504335457,6
-73.88966322011572,40.73966174232974,6
-73.89017719133307,40.740367161130344,6
-73.89027618359668,40.740758286625166,6
-73.8903991785681,40.74074747877867,6
-73.89143129977275,40.746844660419306,6
-73.86942457284175,40.74915687096787,6
-73.86855911982133,40.747722340408345,6
-73.86747113661455,40.743213496737205,6
-73.86752276049552,40.74077114153718,6
-73.86648010456265,40.73821098897686,6
