make,city_mpg,highway_mpg
Chevrolet,15,23
Chevrolet,15,15
GMC,15,23
Dodge,11,13
Dodge,11,13
Dodge,11,16
Dodge,11,14
Buick,15,23
Toyota,10,10
Toyota,10,11
Acura,16,22
Acura,17,22
Alfa Romeo,19,27
GMC,16,23
Chevrolet,15,23
Chevrolet,15,22
Chevrolet,15,24
Nissan,16,22
Nissan,16,22
Nissan,16,22
Nissan,16,22
Dodge,12,20
Ferrari,12,17
Ferrari,11,17
GMC,15,22
Ferrari,10,15
Honda,25,33
Honda,30,37
Honda,23,30
Honda,25,32
Honda,23,28
Jaguar,13,19
Lotus,15,25
Mazda,20,26
Mazda,19,25
Grumman Olson,26,27
Mazda,16,22
Mazda,15,23
Mercedes-Benz,15,22
Mercedes-Benz,14,19
Mercedes-Benz,11,16
Porsche,15,22
Porsche,15,23
Porsche,14,21
Porsche,15,23
Porsche,15,24
Grumman Olson,30,32
Toyota,18,25
Toyota,19,27
Toyota,19,26
Audi,16,24
BMW,18,26
BMW,19,29
BMW,18,26
BMW,17,26
Mercury,20,24
Mercury,21,26
Jeep,18,20
Mercury,22,28
Mercedes-Benz,16,21
Porsche,15,22
Porsche,14,21
Porsche,15,23
Porsche,12,20
Porsche,14,17
Porsche,11,17
Porsche,15,23
Porsche,15,24
Jeep,20,24
Toyota,23,29
Toyota,24,31
Toyota,17,22
Toyota,16,22
Toyota,16,22
Toyota,15,22
Acura,22,28
Acura,21,29
Acura,22,29
Audi,17,22
Jeep,18,22
BMW,19,28
BMW,18,26
BMW,19,27
BMW,19,29
BMW,18,26
BMW,17,26
BMW,11,17
BMW,11,19
Chevrolet,17,26
Chevrolet,17,26
Jeep,18,24
Chevrolet,15,22
Chevrolet,15,24
Chevrolet,20,30
Chevrolet,22,33
Chevrolet,18,26
Chevrolet,17,26
Chevrolet,31,36
Chevrolet,38,45
Chrysler,18,26
Nissan,23,32
Dodge,21,24
Jeep,15,17
Nissan,25,34
Nissan,21,27
Nissan,21,28
Nissan,16,22
Nissan,16,22
Dodge,24,29
Dodge,28,35
Dodge,23,30
Dodge,23,30
Dodge,16,22
Jeep,15,20
Dodge,16,21
Dodge,17,22
Dodge,17,23
Dodge,16,22
Eagle,24,29
Eagle,28,35
Eagle,23,30
Eagle,23,30
Eagle,21,28
Eagle,21,29
Plymouth,16,19
Eagle,17,20
Eagle,17,22
Eagle,19,25
Eagle,18,23
Eagle,19,26
Eagle,19,26
Ferrari,11,16
Ferrari,11,16
Ford,25,31
Ford,31,39
Plymouth,17,20
Ford,17,26
Ford,18,27
Ford,15,23
Ford,15,23
Ford,19,29
Ford,23,30
Ford,18,24
Ford,18,24
Geo,31,35
Geo,38,44
Plymouth,18,25
Geo,43,52
Honda,25,33
Honda,35,41
Honda,33,41
Honda,29,36
Honda,23,30
Honda,25,32
Honda,39,50
Honda,37,45
Honda,20,26
Plymouth,18,25
Honda,19,24
Honda,21,26
Honda,19,25
Honda,19,24
Hyundai,23,32
Hyundai,24,33
Hyundai,23,30
Hyundai,23,30
Hyundai,23,29
Infiniti,16,22
Plymouth,16,20
Jaguar,15,22
Jaguar,15,21
Jaguar,11,16
Lexus,16,21
Lexus,16,22
Lexus,16,22
Mazda,22,31
Mazda,25,34
Mazda,18,25
