fips,geoname,pincp1969,pincp1970,pincp1971,pincp1972,pincp1973,pincp1974,pincp1975,pincp1976,pincp1977,pincp1978,pincp1979,pincp1980,pincp1981,pincp1982,pincp1983,pincp1984,pincp1985,pincp1986,pincp1987,pincp1988,pincp1989,pincp1990,pincp1991,pincp1992,pincp1993,pincp1994,pincp1995,pincp1996,pincp1997,pincp1998,pincp1999,pincp2000,pincp2001,pincp2002,pincp2003,pincp2004,pincp2005,pincp2006,pincp2007,pincp2008,pincp2009,pincp2010,pincp2011,pincp2012,pincp2013,pincp2014,pincp2015,pincp2016,pincp2017,pincp2018,pincp2019
36053,"Madison, NY",3399,3560,3805,4033,4418,4782,5214,5430,5781,6385,7146,8087,8900,9657,10360,11523,12329,13078,13922,15034,16404,17202,17535,18334,19116,19756,20682,21252,22554,24007,25052,26256,26648,26819,27332,27994,28787,29671,30890,32213,32627,33599,35127,36403,36753,38197,39703,40702,43228,43779,45794
36055,"Monroe, NY",4716,4888,5219,5637,6165,6763,7262,7755,8395,9135,10166,11433,12798,13845,14440,15902,17082,17971,18587,20063,21813,22352,23055,23864,24280,24884,26086,27100,28173,29445,30458,31882,32601,32772,33064,34132,34863,36383,38187,40229,40154,41547,43444,45842,45068,45892,48262,49064,51419,52943,55034
36057,"Montgomery, NY",3572,3852,4108,4348,4625,5017,5507,5869,6440,6923,7688,8579,9552,10212,11010,11826,12494,13317,14147,14763,15986,16850,17382,18327,18793,19435,20061,20341,21232,22483,23371,24866,26300,27421,28749,29149,29503,30655,32028,33194,33437,34614,35406,35703,36322,36676,38209,39223,41267,41391,43272
36059,"Nassau, NY",5762,6101,6550,7089,7663,8406,9062,9688,10634,11824,13179,14830,16655,18072,19290,21755,23138,24352,26151,28345,31041,32380,32256,33886,34807,35727,37382,39470,41863,44133,45638,48650,50602,50111,50638,52801,56061,59961,63915,65601,63096,65565,68494,73541,72420,75393,78696,80941,85663,89711,93241
36061,"New York, NY",7841,8509,9128,9770,10218,10969,11840,12591,13875,15467,16711,18174,20152,21747,23983,25687,28259,30685,34745,41126,44237,50091,46357,51236,53117,54535,59088,64417,69236,75304,81007,88609,93406,91072,88496,89573,96318,109741,123285,120389,114109,120442,131239,138876,142958,151154,154960,165782,183568,190997,197847
36063,"Niagara, NY",3842,4021,4408,4671,5087,5548,6040,6554,7295,7887,8838,9670,10521,11123,11883,13166,13914,14571,15080,16112,17146,17952,18442,19234,19603,20285,21076,21780,22614,23289,24170,25176,25756,26306,27257,28214,29141,30945,32390,33754,34052,34903,36573,37611,38043,39073,40846,41786,44192,45245,47207
36065,"Oneida, NY",3595,3863,4124,4372,4860,5285,5763,6159,6612,7224,7932,8941,9922,10820,11434,12563,13266,14039,14687,15611,16724,17641,17893,18858,19381,19852,20620,21278,22338,23372,24416,25615,25908,26040,26865,28172,29022,30671,32648,34180,34855,36112,37064,38007,38351,38783,40249,41168,43506,44692,46867
36067,"Onondaga, NY",3977,4219,4558,4912,5322,5843,6243,6671,7315,8040,9008,10060,11051,11942,12851,14226,15079,16059,16671,17878,19556,20421,20712,21745,22126,22726,23565,24374,25355,26716,27945,29530,29697,30290,31441,32886,33936,35650,37864,39131,39442,40349,41983,43738,43896,45279,47600,48443,51167,53398,55564
36069,"Ontario, NY",3866,4129,4377,4685,5144,5621,6068,6462,7017,7447,8312,9401,10482,11374,11978,13147,13988,14895,15809,17177,18783,19875,20281,21277,21769,22426,23506,23822,24764,26529,28079,29236,29652,29389,30252,31889,32782,34305,36388,38017,38091,39360,41400,43091,43961,45818,49512,49584,52197,53303,55541
36071,"Orange, NY",4025,4260,4703,5219,5631,6011,6466,6976,7472,8141,8980,10078,11313,12285,13112,14321,15241,16161,17062,18224,19540,20182,20700,21611,21836,22372,23077,23843,24588,26137,27513,28878,29663,30078,31352,32800,34266,36304,38460,40065,39383,39977,41688,43288,44098,45317,47145,47943,49964,51343,53656
36073,"Orleans, NY",3744,3889,4098,4312,4880,5349,5800,6030,6671,7198,7974,8886,9802,10471,10709,12004,12672,13309,13657,14473,15284,15912,16590,16623,17194,17942,18447,18684,19417,19876,20555,21875,22192,22407,23313,24345,25139,25882,27077,28345,28869,30403,31590,32457,33238,34101,35595,36171,38301,39087,41050
36075,"Oswego, NY",3141,3372,3682,3916,4295,4620,4846,5298,5987,6351,7102,7948,9048,10495,11502,12916,13576,13930,13894,14577,15606,16362,16608,17730,17795,18304,18803,18840,19585,20287,21183,22458,22887,23658,24271,25150,25877,27015,28459,29974,30522,31803,32494,33708,33831,34981,36249,36980,39326,40161,42025
