id,GeoName,belief,perc
4013,"Maricopa County, Arizona",happening,70.128
4013,"Maricopa County, Arizona",human,55.48
4015,"Mohave County, Arizona",happening,62.542
4015,"Mohave County, Arizona",human,46.344
4017,"Navajo County, Arizona",happening,70.744
4017,"Navajo County, Arizona",human,54.841
4019,"Pima County, Arizona",happening,80.115
4019,"Pima County, Arizona",human,62.053
4021,"Pinal County, Arizona",happening,69.825
4021,"Pinal County, Arizona",human,52.826
4023,"Santa Cruz County, Arizona",happening,77.182
4023,"Santa Cruz County, Arizona",human,59.249
4025,"Yavapai County, Arizona",happening,65.089
4025,"Yavapai County, Arizona",human,50.185
4027,"Yuma County, Arizona",happening,71.986
4027,"Yuma County, Arizona",human,56.052
5001,"Arkansas County, Arkansas",happening,64.736
5001,"Arkansas County, Arkansas",human,48.999
5003,"Ashley County, Arkansas",happening,61.675
5003,"Ashley County, Arkansas",human,44.836
5005,"Baxter County, Arkansas",happening,63.333
5005,"Baxter County, Arkansas",human,45.978
5007,"Benton County, Arkansas",happening,67.562
5007,"Benton County, Arkansas",human,52.06
5009,"Boone County, Arkansas",happening,61.59
5009,"Boone County, Arkansas",human,44.778
5011,"Bradley County, Arkansas",happening,65.969
5011,"Bradley County, Arkansas",human,48.477
5013,"Calhoun County, Arkansas",happening,60.116
5013,"Calhoun County, Arkansas",human,43.735
5015,"Carroll County, Arkansas",happening,64.835
5015,"Carroll County, Arkansas",human,50.414
5017,"Chicot County, Arkansas",happening,71.731
5017,"Chicot County, Arkansas",human,53.223
5019,"Clark County, Arkansas",happening,69.307
5019,"Clark County, Arkansas",human,51.657
5021,"Clay County, Arkansas",happening,59.615
5021,"Clay County, Arkansas",human,43.423
5023,"Cleburne County, Arkansas",happening,59.2
5023,"Cleburne County, Arkansas",human,43.659
5025,"Cleveland County, Arkansas",happening,57.406
5025,"Cleveland County, Arkansas",human,41.585
5027,"Columbia County, Arkansas",happening,65.028
5027,"Columbia County, Arkansas",human,47.104
5029,"Conway County, Arkansas",happening,65.53
5029,"Conway County, Arkansas",human,49.811
5031,"Craighead County, Arkansas",happening,63.42
5031,"Craighead County, Arkansas",human,49.546
5033,"Crawford County, Arkansas",happening,60.458
5033,"Crawford County, Arkansas",human,45.265
5035,"Crittenden County, Arkansas",happening,71.922
5035,"Crittenden County, Arkansas",human,52.969
5037,"Cross County, Arkansas",happening,64.459
5037,"Cross County, Arkansas",human,48.304
5039,"Dallas County, Arkansas",happening,67.208
5039,"Dallas County, Arkansas",human,50.025
5041,"Desha County, Arkansas",happening,66.97
5041,"Desha County, Arkansas",human,48.141
5043,"Drew County, Arkansas",happening,66.466
5043,"Drew County, Arkansas",human,48.777
5045,"Faulkner County, Arkansas",happening,66.05
5045,"Faulkner County, Arkansas",human,51.111
5047,"Franklin County, Arkansas",happening,57.1
5047,"Franklin County, Arkansas",human,43.137
5049,"Fulton County, Arkansas",happening,60.179
5049,"Fulton County, Arkansas",human,44.786
5051,"Garland County, Arkansas",happening,65.489
5051,"Garland County, Arkansas",human,48.27
5053,"Grant County, Arkansas",happening,57.663
5053,"Grant County, Arkansas",human,42.407
5055,"Greene County, Arkansas",happening,60.53
5055,"Greene County, Arkansas",human,47.289
5057,"Hempstead County, Arkansas",happening,65.751
5057,"Hempstead County, Arkansas",human,49.447
5059,"Hot Spring County, Arkansas",happening,60.667
5059,"Hot Spring County, Arkansas",human,47.415
5061,"Howard County, Arkansas",happening,62.853
5061,"Howard County, Arkansas",human,46.416
5063,"Independence County, Arkansas",happening,51.338
5063,"Independence County, Arkansas",human,41.928
5065,"Izard County, Arkansas",happening,62.638
5065,"Izard County, Arkansas",human,47.827
5067,"Jackson County, Arkansas",happening,62.816
5067,"Jackson County, Arkansas",human,47.189
5069,"Jefferson County, Arkansas",happening,64.753
5069,"Jefferson County, Arkansas",human,49.693
5071,"Johnson County, Arkansas",happening,62.851
5071,"Johnson County, Arkansas",human,48.567
5073,"Lafayette County, Arkansas",happening,64.502
5073,"Lafayette County, Arkansas",human,47.012
5075,"Lawrence County, Arkansas",happening,59.171
5075,"Lawrence County, Arkansas",human,44.622
5077,"Lee County, Arkansas",happening,70.252
5077,"Lee County, Arkansas",human,51.221
5079,"Lincoln County, Arkansas",happening,63.213
5079,"Lincoln County, Arkansas",human,47.923
5081,"Little River County, Arkansas",happening,57.974
5081,"Little River County, Arkansas",human,42.124
5083,"Logan County, Arkansas",happening,58.976
5083,"Logan County, Arkansas",human,44.736
5085,"Lonoke County, Arkansas",happening,60.289
5085,"Lonoke County, Arkansas",human,43.935
5087,"Madison County, Arkansas",happening,61.549
5087,"Madison County, Arkansas",human,48.453
5089,"Marion County, Arkansas",happening,60.894
5089,"Marion County, Arkansas",human,44.98
5091,"Miller County, Arkansas",happening,64.006
5091,"Miller County, Arkansas",human,46.945
5093,"Mississippi County, Arkansas",happening,66.741
5093,"Mississippi County, Arkansas",human,50.993
5095,"Monroe County, Arkansas",happening,66.904
5095,"Monroe County, Arkansas",human,48.956
5097,"Montgomery County, Arkansas",happening,59.814
5097,"Montgomery County, Arkansas",human,46.778
5099,"Nevada County, Arkansas",happening,63.823
5099,"Nevada County, Arkansas",human,45.827
5101,"Newton County, Arkansas",happening,59.835
5101,"Newton County, Arkansas",human,44.531
5103,"Ouachita County, Arkansas",happening,67.806
5103,"Ouachita County, Arkansas",human,47.37
5105,"Perry County, Arkansas",happening,61.128
5105,"Perry County, Arkansas",human,46.593
5107,"Phillips County, Arkansas",happening,70.146
