tconst,title_type,primary_title,simple_title,year,runtime_minutes,average_rating,num_votes
tt0100173,tvMovie,A Mom for Christmas,a mom for christmas,1990,96,6.5,1209
tt0101301,movie,All I Want for Christmas,all i want for christmas,1991,92,5.9,5420
tt0101348,movie,The Comic Book Christmas Caper,the comic book christmas caper,1990,104,6.6,60
tt0101580,tvMovie,Christmas on Division Street,christmas on division street,1991,120,6.7,567
tt0102285,movie,Lena's Holiday,lenas holiday,1991,100,5.5,314
tt0102821,movie,Russian Holiday,russian holiday,1993,89,3.5,267
tt0103960,tvMovie,The Christmas Stallion,the christmas stallion,1992,95,5.7,118
tt0103961,tvMovie,Christmas in Connecticut,christmas in connecticut,1992,93,4.8,1565
tt0104940,movie,The Muppet Christmas Carol,the muppet christmas carol,1992,85,7.7,66015
tt0105694,movie,Unforgetful Holiday,unforgetful holiday,1992,94,5.3,24
tt0107688,movie,The Nightmare Before Christmas,the nightmare before christmas,1993,76,7.9,367288
tt0109425,tvMovie,A Christmas Romance,a christmas romance,1994,94,6.1,867
tt0110732,tvMovie,One Christmas,one christmas,1994,90,6,751
tt0112509,movie,Billy's Holiday,billys holiday,1995,92,5.1,164
tt0112667,tvMovie,The Christmas Box,the christmas box,1995,100,7,1270
tt0112668,video,A Christmas Carol,a christmas carol,1997,72,5.9,886
tt0113321,movie,Home for the Holidays,home for the holidays,1995,103,6.6,14315
tt0115891,tvMovie,Christmas Every Day,christmas every day,1996,95,6.2,1128
tt0115892,tvMovie,The Christmas Tree,the christmas tree,1996,93,6.9,437
tt0115893,video,Christmas in Oz,christmas in oz,1996,40,7.7,38
tt0116092,movie,The Devil Takes a Holiday,the devil takes a holiday,1996,102,6.1,34
tt0116189,video,Sesame Street: Elmo Saves Christmas,sesame street elmo saves christmas,1996,60,6.5,416
tt0116321,video,The Flintstones Christmas in Bedrock,the flintstones christmas in bedrock,1996,30,7,197
tt0116544,tvMovie,Holiday Affair,holiday affair,1996,87,6.3,420
tt0116717,movie,The Christmas Party,the christmas party,1996,84,7,451
tt0116984,video,Mannheim Steamroller: Christmas Live,mannheim steamroller christmas live,1997,55,6.9,57
tt0117109,tvMovie,The Munsters' Scary Little Christmas,the munsters scary little christmas,1996,91,4.9,654
tt0118201,movie,Will It Snow for Christmas?,will it snow for christmas,1996,90,7,881
tt0118692,video,Beauty and the Beast: The Enchanted Christmas,beauty and the beast the enchanted christmas,1997,72,5.9,11705
tt0120489,movie,Christmas Fever,christmas fever,1997,90,6.5,65
tt0122019,video,Christmas in Cartoontown,christmas in cartoontown,1996,46,6.8,65
tt0122244,tvMovie,Scrooge's Rock 'N' Roll Christmas,scrooges rock n roll christmas,1984,44,4.7,50
tt0122260,tvMovie,Skyward Christmas,skyward christmas,1981,60,6.8,18
