fips,year,unempl_rate
36095,2014,6.8000002
36095,2015,5.8000002
36095,2016,5.5
36095,2017,5.5
36095,2018,4.8000002
36095,2019,4.5
36095,2020,7.0999999
36097,2012,9.5
36097,2013,9
36097,2014,7.0999999
36097,2015,6.6999998
36097,2016,6.0999999
36097,2017,5.8000002
36097,2018,5.0999999
36097,2019,4.5
36097,2020,8.6000004
36099,2012,8.1000004
36099,2013,7.0999999
36099,2014,5.6999998
36099,2015,5.1999998
36099,2016,4.8000002
36099,2017,4.5
36099,2018,3.8
36099,2019,3.7
36099,2020,8.1999998
36101,2012,9.5
36101,2013,8.6999998
36101,2014,6.9000001
36101,2015,6.3000002
36101,2016,5.9000001
36101,2017,5.6999998
36101,2018,4.9000001
36101,2019,4.4000001
36101,2020,8.1999998
36103,2012,7.9000001
36103,2013,6.8000002
36103,2014,5.4000001
36103,2015,4.6999998
36103,2016,4.4000001
36103,2017,4.5
36103,2018,3.8
36103,2019,3.5
36103,2020,8.5
36105,2012,9.1999998
36105,2013,8.3000002
36105,2014,6.5999999
36105,2015,5.4000001
36105,2016,4.9000001
36105,2017,4.9000001
36105,2018,4.0999999
36105,2019,3.8
36105,2020,8.8000002
36107,2012,8
36107,2013,7.3000002
36107,2014,6.0999999
36107,2015,5.5999999
36107,2016,5.1999998
36107,2017,5.0999999
36107,2018,4.4000001
36107,2019,4
36107,2020,7.8000002
36109,2012,6.1999998
36109,2013,5.3000002
36109,2014,4.4000001
36109,2015,4.4000001
36109,2016,4.1999998
36109,2017,4.3000002
36109,2018,3.5999999
36109,2019,3.5
36109,2020,6.1999998
36111,2012,8.3999996
36111,2013,7.3000002
36111,2014,5.6999998
36111,2015,4.8000002
36111,2016,4.5
36111,2017,4.5
36111,2018,3.9000001
36111,2019,3.5999999
36111,2020,8
36113,2012,9.3000002
36113,2013,8.3999996
36113,2014,6.5999999
36113,2015,5.5999999
36113,2016,5.3000002
36113,2017,5.3000002
36113,2018,4.5999999
