hh_id,gender,schooling,region,year,saving3000below,pension_saving,family_size,net_asset,public_pension,home_owner,age,age_sq,hh_expenditure,hh_income
1496,Male,Middle School,"Chicago, IL",2005,TRUE,2089.646293327163,4,-237987.44,TRUE,TRUE,53,2809,2925.5044314679926,4492.736677164397
1544,Male,High School Diploma,"Chicago, IL",2005,TRUE,1393.0975401802398,4,23218.286,TRUE,TRUE,51,2601,2786.1937609469933,4736.531520017589
1617,Male,Ph.D. Degree,"Chicago, IL",2005,FALSE,3482.742346343866,2,23218.286,TRUE,TRUE,44,1936,4736.531520017589,8219.275948117778
1617,Male,Ph.D. Degree,"Chicago, IL",2006,FALSE,2043.8283963782792,2,45418.418000000005,FALSE,TRUE,45,2025,5586.466749321386,9651.416778679277
1672,Male,High School Diploma,"Chicago, IL",2005,FALSE,5711.699493728101,4,-17413.711,TRUE,TRUE,53,2809,4875.838165314441,7662.03351932664
1672,Male,High School Diploma,"Chicago, IL",2006,FALSE,2725.1046035761487,4,-31225.165999999997,TRUE,TRUE,54,2916,4087.6569008587653,6812.7647459007785
1740,Male,High School Diploma,"Chicago, IL",2005,TRUE,2786.1948559047646,4,0,TRUE,TRUE,47,2209,2786.1937609469933,4295.384701400908
1769,Male,Bachelor's Degree,"Chicago, IL",2005,FALSE,6965.484131548688,5,208964.56999999998,TRUE,TRUE,48,2304,6408.245503204307,11376.964133612177
1813,Male,Middle School,"Chicago, IL",2005,TRUE,1532.4065589427935,4,-9867.7716,TRUE,TRUE,57,3249,2786.1937609469933,3120.539242487377
1813,Male,Middle School,"Chicago, IL",2006,TRUE,1498.807533099411,3,-8970.1373,FALSE,TRUE,58,3364,2725.104622668107,3052.117832656533
1840,Male,Bachelor's Degree,"Chicago, IL",2005,FALSE,4179.292667900005,4,-11609.143,TRUE,TRUE,42,1764,4625.080244693443,8358.5813775595
1840,Male,Bachelor's Degree,"Chicago, IL",2006,FALSE,4087.656872220828,4,-37243.101,TRUE,TRUE,43,1849,3815.147476564133,8515.95634698203
1993,Male,Associate's Degree,"New York, NY",2005,TRUE,1393.0975401802398,3,59206.630999999994,TRUE,FALSE,35,1225,1978.1977857906238,3831.018600696968
2011,Male,Bachelor's Degree,"Jacksonville, FL",2005,FALSE,6965.484131548688,3,81264.004,TRUE,TRUE,35,1225,2507.5744241154566,14488.21587913598
2011,Male,Bachelor's Degree,"Jacksonville, FL",2006,FALSE,6812.76129178936,3,79482.231,FALSE,TRUE,36,1296,4087.6569008587653,12887.475148732745
2101,Male,High School Diploma,"Jacksonville, FL",2005,TRUE,696.5487565491742,2,3482.7429,FALSE,FALSE,31,961,2786.1937609469933,4039.9803213889354
2101,Male,High School Diploma,"Jacksonville, FL",2006,TRUE,1362.5522752999839,3,-12944.249,FALSE,FALSE,32,1024,2725.104622668107,5681.843392521142
2248,Male,Associate's Degree,"Phoenix, AZ",2005,TRUE,1393.0975401802398,4,5920.6628,TRUE,TRUE,37,1369,2660.8151441495006,4875.838165314441
2281,Male,Bachelor's Degree,"New York, NY",2005,TRUE,1114.4774206460997,3,-31344.688000000002,TRUE,TRUE,43,1849,3064.814731344643,4179.292697179938
2281,Male,Bachelor's Degree,"New York, NY",2006,TRUE,1090.0417671704408,3,-39741.116,TRUE,TRUE,44,1936,3147.495386024894,5450.2120763939365
2287,Male,Associate's Degree,"Phoenix, AZ",2005,TRUE,1393.0975401802398,4,114466.15,TRUE,TRUE,37,1369,2535.437284587115,4179.292697179938
2329,Male,High School Diploma,"Phoenix, AZ",2005,TRUE,2089.646293327163,4,37381.443,TRUE,FALSE,38,1444,2925.5044314679926,4039.9803213889354
2363,Male,Elementary School,"Phoenix, AZ",2005,TRUE,1671.7169532728687,4,-49919.312,TRUE,TRUE,49,2401,3761.3616056754463,3482.744112115419
2397,Male,High School Diploma,"Charlotte, NC",2005,TRUE,1114.4774206460997,4,-89390.40000000001,TRUE,TRUE,42,1764,2925.5044314679926,3018.3783622240935
2470,Male,High School Diploma,"Nashville, TN",2005,TRUE,2786.1948559047646,4,100999.55,TRUE,TRUE,49,2401,4179.292697179938,5154.461348938839
2470,Male,High School Diploma,"Nashville, TN",2006,TRUE,3406.3809203125293,4,59043.94500000001,TRUE,TRUE,50,2500,5177.700925744532,5109.571374836972
2511,Male,Master's Degree,"Nashville, TN",2005,TRUE,1950.3360947613896,5,-16833.257,TRUE,FALSE,43,1849,6185.353885971281,5108.021876832231
2512,Male,High School Diploma,"Nashville, TN",2005,TRUE,1671.7169532728687,5,146588.65,TRUE,FALSE,40,1600,3301.6406811184984,4991.932059096414
2512,Male,High School Diploma,"Nashville, TN",2006,TRUE,1498.807533099411,5,100102.18999999999,FALSE,FALSE,41,1681,2452.59419880359,4768.93457788451
2514,Male,Bachelor's Degree,"Nashville, TN",2005,TRUE,2786.1948559047646,5,380036.91,FALSE,TRUE,40,1600,3482.744112115419,10448.227230629564
2514,Male,Bachelor's Degree,"Nashville, TN",2006,TRUE,2316.339907902349,5,634495.27,FALSE,TRUE,41,1681,4768.93457788451,11241.063090718997
2553,Male,Bachelor's Degree,"Nashville, TN",2005,TRUE,1950.3360947613896,4,112840.88,TRUE,TRUE,39,1521,2228.9560147168886,5572.387630221508
2553,Male,Bachelor's Degree,"Nashville, TN",2006,TRUE,1362.5522752999839,4,90836.83600000001,FALSE,TRUE,40,1600,2997.6151454737815,6790.056217679613
2606,Male,Bachelor's Degree,"Los Angeles, CA",2005,TRUE,835.8584603872998,4,8706.857899999999,TRUE,FALSE,35,1225,3482.744112115419,4686.6114735405145
2713,Male,Master's Degree,"Oklahoma City, OK",2005,TRUE,2786.1948559047646,5,-23218.290999999997,TRUE,TRUE,50,2500,7871.001588820939,10448.227230629564
2720,Male,Bachelor's Degree,"Seattle, WA",2005,FALSE,6408.24866243196,4,58045.71799999999,TRUE,TRUE,41,1681,5015.150951785665,8776.50900560286
2720,Male,Bachelor's Degree,"Seattle, WA",2006,FALSE,7085.273067320835,4,11354.604,FALSE,TRUE,42,1764,4768.93457788451,8515.95634698203
