date,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2022-01-12,12/01/2022,West Ham,Norwich,2,0,H,1,0,H
2022-01-14,14/01/2022,Brighton,Crystal Palace,1,1,D,0,0,D
2022-01-15,15/01/2022,Man City,Chelsea,1,0,H,0,0,D
2022-01-15,15/01/2022,Newcastle,Watford,1,1,D,0,0,D
2022-01-15,15/01/2022,Norwich,Everton,2,1,H,2,0,H
2022-01-15,15/01/2022,Wolves,Southampton,3,1,H,1,0,H
2022-01-15,15/01/2022,Aston Villa,Man United,2,2,D,0,1,A
2022-01-16,16/01/2022,Liverpool,Brentford,3,0,H,1,0,H
2022-01-16,16/01/2022,West Ham,Leeds,2,3,A,1,2,A
2022-01-18,18/01/2022,Brighton,Chelsea,1,1,D,0,1,A
2022-01-19,19/01/2022,Leicester,Tottenham,2,3,A,1,1,D
2022-01-19,19/01/2022,Brentford,Man United,1,3,A,0,0,D
2022-01-21,21/01/2022,Watford,Norwich,0,3,A,0,0,D
2022-01-22,22/01/2022,Everton,Aston Villa,0,1,A,0,1,A
2022-01-22,22/01/2022,Brentford,Wolves,1,2,A,0,0,D
2022-01-22,22/01/2022,Leeds,Newcastle,0,1,A,0,0,D
2022-01-22,22/01/2022,Man United,West Ham,1,0,H,0,0,D
2022-01-22,22/01/2022,Southampton,Man City,1,1,D,1,0,H
2022-01-23,23/01/2022,Arsenal,Burnley,0,0,D,0,0,D
2022-01-23,23/01/2022,Crystal Palace,Liverpool,1,3,A,0,2,A
2022-01-23,23/01/2022,Leicester,Brighton,1,1,D,0,0,D
2022-01-23,23/01/2022,Chelsea,Tottenham,2,0,H,0,0,D
2022-02-05,05/02/2022,Burnley,Watford,0,0,D,0,0,D
2022-02-08,08/02/2022,Newcastle,Everton,3,1,H,1,1,D
2022-02-08,08/02/2022,West Ham,Watford,1,0,H,0,0,D
2022-02-08,08/02/2022,Burnley,Man United,1,1,D,0,1,A
2022-02-09,09/02/2022,Man City,Brentford,2,0,H,1,0,H
2022-02-09,09/02/2022,Norwich,Crystal Palace,1,1,D,1,0,H
2022-02-09,09/02/2022,Tottenham,Southampton,2,3,A,1,1,D
2022-02-09,09/02/2022,Aston Villa,Leeds,3,3,D,3,2,H
2022-02-10,10/02/2022,Liverpool,Leicester,2,0,H,1,0,H
2022-02-10,10/02/2022,Wolves,Arsenal,0,1,A,0,1,A
2022-02-12,12/02/2022,Man United,Southampton,1,1,D,1,0,H
2022-02-12,12/02/2022,Brentford,Crystal Palace,0,0,D,0,0,D
2022-02-12,12/02/2022,Everton,Leeds,3,0,H,2,0,H
2022-02-12,12/02/2022,Watford,Brighton,0,2,A,0,1,A
2022-02-12,12/02/2022,Norwich,Man City,0,4,A,0,1,A
2022-02-13,13/02/2022,Burnley,Liverpool,0,1,A,0,1,A
2022-02-13,13/02/2022,Newcastle,Aston Villa,1,0,H,1,0,H
2022-02-13,13/02/2022,Tottenham,Wolves,0,2,A,0,2,A
2022-02-13,13/02/2022,Leicester,West Ham,2,2,D,1,1,D
2022-02-15,15/02/2022,Man United,Brighton,2,0,H,0,0,D
2022-02-19,19/02/2022,West Ham,Newcastle,1,1,D,1,1,D
2022-02-19,19/02/2022,Arsenal,Brentford,2,1,H,0,0,D
2022-02-19,19/02/2022,Aston Villa,Watford,0,1,A,0,0,D
2022-02-19,19/02/2022,Brighton,Burnley,0,3,A,0,2,A
2022-02-19,19/02/2022,Crystal Palace,Chelsea,0,1,A,0,0,D
2022-02-19,19/02/2022,Liverpool,Norwich,3,1,H,0,0,D
2022-02-19,19/02/2022,Southampton,Everton,2,0,H,0,0,D
2022-02-19,19/02/2022,Man City,Tottenham,2,3,A,1,1,D
2022-02-20,20/02/2022,Leeds,Man United,2,4,A,0,2,A
2022-02-20,20/02/2022,Wolves,Leicester,2,1,H,1,1,D
2022-02-23,23/02/2022,Burnley,Tottenham,1,0,H,0,0,D
2022-02-23,23/02/2022,Watford,Crystal Palace,1,4,A,1,2,A
2022-02-23,23/02/2022,Liverpool,Leeds,6,0,H,3,0,H
2022-02-24,24/02/2022,Arsenal,Wolves,2,1,H,0,1,A
2022-02-25,25/02/2022,Southampton,Norwich,2,0,H,1,0,H
2022-02-26,26/02/2022,Leeds,Tottenham,0,4,A,0,3,A
2022-02-26,26/02/2022,Brentford,Newcastle,0,2,A,0,2,A
2022-02-26,26/02/2022,Crystal Palace,Burnley,1,1,D,1,0,H
2022-02-26,26/02/2022,Man United,Watford,0,0,D,0,0,D
2022-02-26,26/02/2022,Brighton,Aston Villa,0,2,A,0,1,A
