id_player,Born,City,Cntry,Nat,Ht,Wt,Last_Name,First_Name,Position,Team,GP,G,A,TOI,TOI_GP
426,27.05.1990,Stockholm,SWE,SWE,72,186,Kruger,Marcus,C,CHI,70,5,12,58886,14.02
427,17.06.1993,Maykop,RUS,RUS,71,178,Kucherov,Nikita,RW,T.B,74,40,45,86320,19.43
428,21.01.1992,Landshut,DEU,DEU,74,196,Kuhnhackl,Tom,RW,PIT,57,4,12,36425,10.65
429,06.01.1994,Edmonton,CAN,CAN,74,187,Kulak,Brett,D,CGY,21,0,3,17945,14.25
430,14.07.1986,Magnitogorsk,RUS,RUS,73,225,Kulemin,Nikolay,LW/RW,NYI,72,12,11,59691,13.82
431,29.10.1990,Lipetsk,RUS,RUS,73,204,Kulikov,Dmitry,D,BUF,47,2,3,61766,21.9
432,26.09.1979,Regina,CAN,CAN,72,195,Kunitz,Chris,LW,PIT,71,9,20,66088,15.52
433,20.01.1993,Dublin,USA,USA,74,205,Kuraly,Sean,C,BOS,8,0,1,4416,9.2
434,19.05.1992,Chelyabinsk,RUS,RUS,74,192,Kuznetsov,Evgeny,C/LW,WSH,82,19,40,83410,16.95
435,12.12.1995,Brooklyn,USA,USA,71,185,Labanc,Kevin,RW,S.J,55,8,12,45139,13.68
436,16.04.1993,Burnsville,USA,USA,77,210,Labate,Joseph,C,VAN,13,0,0,5276,6.77
437,12.12.1985,Maple Ridge,CAN,CAN,75,200,Ladd,Andrew,LW,NYI,78,23,8,75702,16.18
438,06.09.1992,Grand Forks,USA,USA,74,201,Ladue,Paul,D,L.A,22,0,8,20335,15.4
439,19.04.1998,Tampere,FIN,FIN,77,206,Laine,Patrik,RW,WPG,73,36,28,78457,17.92
440,24.04.1991,Sundsvall,SWE,SWE,72,184,Lander,Anton,C/LW/RW,EDM,22,1,3,12902,9.77
441,23.11.1992,Stockholm,SWE,SWE,73,215,Landeskog,Gabriel,LW,COL,72,18,15,81136,18.78
442,01.11.1992,Geneva,USA,USA,73,174,Lappin,Nick,RW,N.J,43,4,3,30240,11.78
443,30.07.1996,Waterford,USA,USA,73,190,Larkin,Dylan,C/LW,DET,80,17,15,77534,16.15
444,07.12.1989,Esbjerg,DNK,DNK,73,185,Larsen,Philip,D,VAN,26,1,5,25675,16.47
445,12.11.1992,Skellefteå,SWE,SWE,75,215,Larsson,Adam,D,EDM,79,4,15,95509,20.12
446,29.04.1997,Ljungby,SWE,SWE,74,191,Larsson,Jacob,D,ANA,4,0,0,3943,16.43
447,25.07.1992,Lau,SWE,SWE,71,200,Larsson,Johan,C/LW,BUF,36,6,5,36401,16.85
448,16.07.1990,Albany,USA,USA,75,221,Lashoff,Brian,D,DET,5,0,0,3754,12.52
449,30.05.1994,Oakville,CAN,CAN,73,190,Laughton,Scott,C/LW,PHI,2,0,0,1229,10.25
450,02.02.1995,Salmon Arm,CAN,CAN,72,209,Lazar,Curtis,C/RW,CGY/OTT,37,1,3,20277,9.13
451,20.03.1991,Eden Prairie,USA,USA,72,199,Leddy,Nick,D,NYI,81,11,35,110410,22.72
452,03.07.1990,Edina,USA,USA,75,228,Lee,Anders,LW/C,NYI,81,34,18,75759,15.58
453,04.07.1995,Piikkio,FIN,FIN,72,182,Lehkonen,Artturi,LW,MTL,73,18,10,60702,13.87
454,23.12.1987,Helsinki,FIN,FIN,74,212,Lehtera,Jori,C,STL,64,7,15,58273,15.18
455,15.02.1994,Saskatoon,CAN,CAN,70,174,Leier,Taylor,LW,PHI,10,1,1,5436,9.07
456,26.05.1993,Innisfil,CAN,CAN,74,205,Leivo,Josh,LW,TOR,13,2,8,9808,12.57
457,24.09.1995,Winnipeg,CAN,CAN,76,213,Lernout,Brett,D,MTL,2,0,0,2279,19
458,24.04.1987,Montreal,CAN,CAN,72,201,Letang,Kris,D,PIT,41,5,29,62774,25.52
459,04.02.1985,Elk Point,CAN,CAN,70,197,Letestu,Mark,C/RW,EDM,78,16,19,66630,14.23
460,08.01.1987,Salt Lake City,USA,USA,73,201,Lewis,Trevor,C/RW/LW,L.A,82,12,12,70224,14.27
461,16.02.1989,Toronto,CAN,CAN,70,203,Liambas,Mike,LW,NSH,1,0,0,282,4.7
462,25.11.1980,Indianapolis,USA,USA,70,185,Liles,John-Michael,D,BOS,36,0,5,35007,16.22
463,29.10.1991,Skellefteå,SWE,SWE,73,202,Lindberg,Oscar,C,NYR,65,8,12,42235,10.83
464,23.09.1993,Helsinki,FIN,FIN,75,198,Lindbohm,Petteri,D,STL,7,0,0,5453,12.98
465,23.05.1994,Vantaa,FIN,FIN,75,215,Lindell,Esa,D,DAL,73,6,12,95795,21.87
466,29.11.1994,Skellefteå,SWE,SWE,71,191,Lindholm,Anton,D,COL,12,0,0,10621,14.77
467,02.12.1994,Boden,SWE,SWE,73,192,Lindholm,Elias,C/RW,CAR,72,11,34,78543,18.18
468,20.01.1994,Helsingborg,SWE,SWE,75,205,Lindholm,Hampus,D,ANA,66,6,14,88900,22.45
469,12.11.1987,Edmonton,CAN,CAN,72,191,Little,Bryan,C/RW,WPG,59,21,26,62152,17.55
470,03.07.1990,Oakville,CAN,CAN,69,170,Lorito,Matt,LW/RW,DET,2,0,1,1732,14.43
471,20.02.1984,Concord,USA,USA,73,206,Lovejoy,Ben,D,N.J,82,1,6,102209,20.8
472,29.03.1993,St. Louis,USA,USA,77,210,Lowry,Adam,C/LW,WPG,82,15,14,78962,16.05
473,07.06.1988,Vancouver,CAN,CAN,75,236,Lucic,Milan,LW,EDM,82,23,27,84435,17.17
474,06.01.1992,Tver,RUS,RUS,74,207,Lyubimov,Roman,LW,PHI,47,4,2,27011,9.58
475,22.08.1994,Jyväskylä,FIN,FIN,74,206,Maatta,Olli,D,PIT,55,1,6,59611,18.07
476,06.04.1985,Lloydminster,CAN,CAN,72,192,MacArthur,Clarke,LW,OTT,4,0,0,3237,13.48
477,07.09.1986,Judique,CAN,CAN,73,204,MacDonald,Andrew,D,PHI,73,2,16,88074,20.1
478,11.06.1981,Sudbury,CAN,CAN,71,181,MacKenzie,Derek,C/LW,FLA,82,6,10,61819,12.57
