company,Date,Open,High,Low,Close,Adj Close,Volume
META,2022-12-23,116.029999,118.18,115.540001,118.040001,117.914894,17796600
MSFT,2022-12-23,236.110001,238.869995,233.940002,238.729996,236.195023,21207000
NFLX,2022-12-23,296.179993,298.459991,291.910004,294.959991,294.959991,4251100
NVDA,2022-12-23,151.960007,153.389999,148.830002,152.059998,151.985428,34932600
TSLA,2022-12-23,126.370003,128.619995,121.019997,123.150002,123.150002,166989700
AMZN,2022-12-27,84.970001,85.349998,83,83.040001,83.040001,57284000
APPL,2022-12-27,131.380005,131.410004,128.720001,130.029999,129.142456,69007800
GOOG,2022-12-27,89.309998,89.5,87.535004,87.93,87.93,15470900
META,2022-12-27,117.93,118.599998,116.050003,116.879997,116.756119,21392300
MSFT,2022-12-27,238.699997,238.929993,235.830002,236.960007,234.443817,16688600
NFLX,2022-12-27,293.190002,293.570007,282.130005,284.170013,284.170013,5778100
NVDA,2022-12-27,150.740005,151,140.559998,141.210007,141.140762,46490200
TSLA,2022-12-27,117.5,119.669998,108.760002,109.099998,109.099998,208643400
AMZN,2022-12-28,82.800003,83.480003,81.690002,81.82,81.82,58228600
APPL,2022-12-28,129.669998,131.029999,125.870003,126.040001,125.17968,85438400
GOOG,2022-12-28,87.5,88.519997,86.370003,86.459999,86.459999,17879600
META,2022-12-28,116.25,118.150002,115.510002,115.620003,115.497459,19612500
MSFT,2022-12-28,236.889999,239.720001,234.169998,234.529999,232.039612,17457100
NFLX,2022-12-28,281.920013,285.190002,273.410004,276.880005,276.880005,5964400
NVDA,2022-12-28,139.270004,142.619995,138.839996,140.360001,140.291168,35106600
TSLA,2022-12-28,110.349998,116.269997,108.239998,112.709999,112.709999,221070500
AMZN,2022-12-29,82.870003,84.550003,82.550003,84.18,84.18,54995900
APPL,2022-12-29,127.989998,130.479996,127.730003,129.610001,128.725311,75703700
GOOG,2022-12-29,87.029999,89.364998,86.989998,88.949997,88.949997,18280700
META,2022-12-29,116.400002,121.029999,115.769997,120.260002,120.132538,22366200
MSFT,2022-12-29,235.649994,241.919998,235.649994,241.009995,238.45079,19770700
NFLX,2022-12-29,283.179993,295.5,281.01001,291.119995,291.119995,9588500
NVDA,2022-12-29,144.020004,146.830002,142.270004,146.029999,145.958389,35492300
TSLA,2022-12-29,120.389999,123.57,117.5,121.82,121.82,221923300
AMZN,2022-12-30,83.120003,84.050003,82.470001,84,84,62401200
APPL,2022-12-30,128.410004,129.949997,127.43,129.929993,129.043106,77034200
GOOG,2022-12-30,87.364998,88.830002,87.029999,88.730003,88.730003,19190300
META,2022-12-30,118.160004,120.419998,117.739998,120.339996,120.212448,19583800
MSFT,2022-12-30,238.210007,239.960007,236.660004,239.820007,237.273453,21938500
NFLX,2022-12-30,285.529999,295.01001,283.220001,294.880005,294.880005,7566900
NVDA,2022-12-30,143.339996,146.289993,142.330002,146.139999,146.068329,31049000
TSLA,2022-12-30,119.949997,124.480003,119.75,123.18,123.18,157777300
AMZN,2023-01-03,85.459999,86.959999,84.209999,85.82,85.82,76706000
APPL,2023-01-03,130.279999,130.899994,124.169998,125.07,124.216301,112117500
GOOG,2023-01-03,89.830002,91.550003,89.019997,89.699997,89.699997,20738500
META,2023-01-03,122.82,126.370003,122.279999,124.739998,124.607788,35528500
MSFT,2023-01-03,243.080002,245.75,237.399994,239.580002,237.035995,25740000
NFLX,2023-01-03,298.059998,298.390015,288.700012,294.950012,294.950012,6764000
NVDA,2023-01-03,148.509995,149.960007,140.960007,143.149994,143.079788,40127700
TSLA,2023-01-03,118.470001,118.800003,104.639999,108.099998,108.099998,231402800
AMZN,2023-01-04,86.550003,86.980003,83.360001,85.139999,85.139999,68885100
APPL,2023-01-04,126.889999,128.660004,125.080002,126.360001,125.497498,89113600
GOOG,2023-01-04,91.010002,91.239998,87.800003,88.709999,88.709999,27046500
META,2023-01-04,127.379997,129.050003,125.849998,127.370003,127.235008,32397100
MSFT,2023-01-04,232.279999,232.869995,225.960007,229.100006,226.667282,50623400
NFLX,2023-01-04,298.23999,311.140015,295.51001,309.410004,309.410004,9345100
NVDA,2023-01-04,145.669998,148.529999,142.410004,147.490005,147.417694,43132400
TSLA,2023-01-04,109.110001,114.589996,107.519997,113.639999,113.639999,180389000
AMZN,2023-01-05,85.330002,85.419998,83.07,83.120003,83.120003,67930800
APPL,2023-01-05,127.129997,127.769997,124.760002,125.019997,124.166634,80962700
GOOG,2023-01-05,88.07,88.209999,86.559998,86.769997,86.769997,23136100
META,2023-01-05,126.129997,128.520004,124.540001,126.940002,126.805458,25447100
MSFT,2023-01-05,227.199997,227.550003,221.759995,222.309998,219.949371,39585600
NFLX,2023-01-05,307,314.179993,304.549988,309.700012,309.700012,8328400
NVDA,2023-01-05,144.910004,145.639999,141.479996,142.649994,142.580048,38916800
TSLA,2023-01-05,110.510002,111.75,107.160004,110.339996,110.339996,157986300
AMZN,2023-01-06,83.029999,86.400002,81.43,86.080002,86.080002,83303400
APPL,2023-01-06,126.010002,130.289993,124.889999,129.619995,128.735229,87754700
GOOG,2023-01-06,87.360001,88.470001,85.57,88.160004,88.160004,26612600
META,2023-01-06,128.970001,130.330002,126.040001,130.020004,129.882202,27584500
MSFT,2023-01-06,223,225.759995,219.350006,224.929993,222.54155,43613600
NFLX,2023-01-06,311.570007,316.769989,303.690002,315.549988,315.549988,8959800
NVDA,2023-01-06,144.740005,150.100006,140.339996,148.589996,148.51712,40504400
TSLA,2023-01-06,103,114.389999,101.809998,113.059998,113.059998,220911100
AMZN,2023-01-09,87.459999,89.480003,87.080002,87.360001,87.360001,65266100
APPL,2023-01-09,130.470001,133.410004,129.889999,130.149994,129.261612,70790800
GOOG,2023-01-09,89.195,90.830002,88.580002,88.800003,88.800003,22996700
META,2023-01-09,131.160004,132.949997,129.279999,129.470001,129.332779,26649100
MSFT,2023-01-09,226.449997,231.240005,226.410004,227.119995,224.708298,27369800
NFLX,2023-01-09,316.829987,321.700012,313.220001,315.170013,315.170013,6766600
NVDA,2023-01-09,152.839996,160.559998,151.410004,156.279999,156.203369,50423100
TSLA,2023-01-09,118.959999,123.519997,117.110001,119.769997,119.769997,190284000
AMZN,2023-01-10,87.57,90.190002,87.290001,89.870003,89.870003,67756600
APPL,2023-01-10,130.259995,131.259995,128.119995,130.729996,129.837662,63896200
GOOG,2023-01-10,86.720001,89.474998,86.699997,89.239998,89.239998,22855600
META,2023-01-10,127.269997,133.440002,127.150002,132.990005,132.849045,28684400
MSFT,2023-01-10,227.759995,231.309998,227.330002,228.850006,226.419952,27033900
NFLX,2023-01-10,311.070007,329.350006,311.070007,327.540009,327.540009,13072300
NVDA,2023-01-10,155.070007,159.619995,154.720001,159.089996,159.011978,38410100
TSLA,2023-01-10,121.07,122.760002,114.919998,118.849998,118.849998,167642500
AMZN,2023-01-11,90.93,95.260002,90.93,95.089996,95.089996,103126200
APPL,2023-01-11,131.25,133.509995,130.460007,133.490005,132.578842,69458900
GOOG,2023-01-11,90.059998,92.449997,89.739998,92.260002,92.260002,25998800
META,2023-01-11,130.960007,133.850006,130.339996,132.889999,132.749146,25423000
MSFT,2023-01-11,231.289993,235.949997,231.110001,235.770004,233.266464,28669300
NFLX,2023-01-11,326.5,328.880005,321.350006,327.26001,327.26001,9579700
NVDA,2023-01-11,158.399994,160.279999,155.630005,160.009995,159.931503,35328500
TSLA,2023-01-11,122.089996,125.949997,120.510002,123.220001,123.220001,183810800
AMZN,2023-01-12,96.93,97.190002,93.5,95.269997,95.269997,85254800
APPL,2023-01-12,133.880005,134.259995,131.440002,133.410004,132.499405,71379600
GOOG,2023-01-12,92.400002,92.620003,90.57,91.910004,91.910004,22754200
META,2023-01-12,133.440002,137.679993,131.759995,136.710007,136.565109,30757700
MSFT,2023-01-12,235.259995,239.899994,233.559998,238.509995,235.977356,27269500
NFLX,2023-01-12,332.5,332.950012,323.140015,330.130005,330.130005,10856200
NVDA,2023-01-12,161,166.369995,154.919998,165.110001,165.029037,55140900
TSLA,2023-01-12,122.559998,124.129997,117,123.559998,123.559998,169400900
AMZN,2023-01-13,94.18,98.370003,94.120003,98.120003,98.120003,85549400
APPL,2023-01-13,132.029999,134.919998,131.660004,134.759995,133.840179,57809700
GOOG,2023-01-13,91.528,92.980003,90.93,92.800003,92.800003,18630700
META,2023-01-13,134.970001,137.389999,134.839996,136.979996,136.834808,22423800
MSFT,2023-01-13,237,239.369995,234.919998,239.229996,236.689728,21333300
NFLX,2023-01-13,329.970001,336.649994,328.890015,332.820007,332.820007,8286800
NVDA,2023-01-13,162.779999,169.220001,161.649994,168.990005,168.90715,44728700
TSLA,2023-01-13,116.550003,122.629997,115.599998,122.400002,122.400002,180714100
AMZN,2023-01-17,98.68,98.889999,95.730003,96.050003,96.050003,72755000
APPL,2023-01-17,134.830002,137.289993,134.130005,135.940002,135.0121,63646600
